Output format: module | schema name (class + field) | field offset
Schema: resourcesystem.dll | FourQuaternions->y | 0X000010
Schema: resourcesystem.dll | FourQuaternions->z | 0X000020
Schema: resourcesystem.dll | FourQuaternions->w | 0X000030
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_pSemanticName | 0X000000
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_nSemanticIndex | 0X000020
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_Format | 0X000024
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_nOffset | 0X000028
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_nSlot | 0X00002C
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_nSlotType | 0X000030
Schema: rendersystemdx11.dll | RenderInputLayoutField_t->m_nInstanceStepRate | 0X000034
Schema: rendersystemdx11.dll | VsInputSignatureElement_t->m_pName | 0X000000
Schema: rendersystemdx11.dll | VsInputSignatureElement_t->m_pSemantic | 0X000040
Schema: rendersystemdx11.dll | VsInputSignatureElement_t->m_pD3DSemanticName | 0X000080
Schema: rendersystemdx11.dll | VsInputSignatureElement_t->m_nD3DSemanticIndex | 0X0000C0
Schema: rendersystemdx11.dll | VsInputSignature_t->m_elems | 0X000000
Schema: engine2.dll | EngineLoopState_t->m_nPlatWindowWidth | 0X000018
Schema: engine2.dll | EngineLoopState_t->m_nPlatWindowHeight | 0X00001C
Schema: engine2.dll | EngineLoopState_t->m_nRenderWidth | 0X000020
Schema: engine2.dll | EngineLoopState_t->m_nRenderHeight | 0X000024
Schema: engine2.dll | EventFrameBoundary_t->m_flFrameTime | 0X000000
Schema: engine2.dll | EventProfileStorageAvailable_t->m_nSplitScreenSlot | 0X000000
Schema: engine2.dll | EventSetTime_t->m_LoopState | 0X000000
Schema: engine2.dll | EventSetTime_t->m_nClientOutputFrames | 0X000028
Schema: engine2.dll | EventSetTime_t->m_flRealTime | 0X000030
Schema: engine2.dll | EventSetTime_t->m_flRenderTime | 0X000038
Schema: engine2.dll | EventSetTime_t->m_flRenderFrameTime | 0X000040
Schema: engine2.dll | EventSetTime_t->m_flRenderFrameTimeUnbounded | 0X000048
Schema: engine2.dll | EventSetTime_t->m_flRenderFrameTimeUnscaled | 0X000050
Schema: engine2.dll | EventSetTime_t->m_flTickRemainder | 0X000058
Schema: engine2.dll | EventClientPollInput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientPollInput_t->m_flRealTime | 0X000028
Schema: engine2.dll | EventClientProcessInput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientProcessInput_t->m_flRealTime | 0X000028
Schema: engine2.dll | EventClientProcessGameInput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientProcessGameInput_t->m_flRealTime | 0X000028
Schema: engine2.dll | EventClientProcessGameInput_t->m_flFrameTime | 0X00002C
Schema: engine2.dll | EventClientPreOutput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientPreOutput_t->m_flRenderTime | 0X000028
Schema: engine2.dll | EventClientPreOutput_t->m_flRenderFrameTime | 0X000030
Schema: engine2.dll | EventClientPreOutput_t->m_flRenderFrameTimeUnbounded | 0X000038
Schema: engine2.dll | EventClientPreOutput_t->m_flRealTime | 0X000040
Schema: engine2.dll | EventClientPreOutput_t->m_bRenderOnly | 0X000044
Schema: engine2.dll | EventClientSceneSystemThreadStateChange_t->m_bThreadsActive | 0X000000
Schema: engine2.dll | EventClientOutput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientOutput_t->m_flRenderTime | 0X000028
Schema: engine2.dll | EventClientOutput_t->m_flRealTime | 0X00002C
Schema: engine2.dll | EventClientOutput_t->m_flRenderFrameTimeUnbounded | 0X000030
Schema: engine2.dll | EventClientOutput_t->m_bRenderOnly | 0X000034
Schema: engine2.dll | EventClientPostOutput_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientPostOutput_t->m_flRenderTime | 0X000028
Schema: engine2.dll | EventClientPostOutput_t->m_flRenderFrameTime | 0X000030
Schema: engine2.dll | EventClientPostOutput_t->m_flRenderFrameTimeUnbounded | 0X000034
Schema: engine2.dll | EventClientPostOutput_t->m_bRenderOnly | 0X000038
Schema: engine2.dll | EventClientFrameSimulate_t->m_LoopState | 0X000000
Schema: engine2.dll | EventClientFrameSimulate_t->m_flRealTime | 0X000028
Schema: engine2.dll | EventClientFrameSimulate_t->m_flFrameTime | 0X00002C
Schema: engine2.dll | EventSimpleLoopFrameUpdate_t->m_LoopState | 0X000000
Schema: engine2.dll | EventSimpleLoopFrameUpdate_t->m_flRealTime | 0X000028
Schema: engine2.dll | EventSimpleLoopFrameUpdate_t->m_flFrameTime | 0X00002C
Schema: engine2.dll | EventSimulate_t->m_LoopState | 0X000000
Schema: engine2.dll | EventSimulate_t->m_bFirstTick | 0X000028
Schema: engine2.dll | EventSimulate_t->m_bLastTick | 0X000029
Schema: engine2.dll | EventAdvanceTick_t->m_nCurrentTick | 0X000030
Schema: engine2.dll | EventAdvanceTick_t->m_nCurrentTickThisFrame | 0X000034
Schema: engine2.dll | EventAdvanceTick_t->m_nTotalTicksThisFrame | 0X000038
Schema: engine2.dll | EventAdvanceTick_t->m_nTotalTicks | 0X00003C
Schema: engine2.dll | EventPostAdvanceTick_t->m_nCurrentTick | 0X000030
Schema: engine2.dll | EventPostAdvanceTick_t->m_nCurrentTickThisFrame | 0X000034
Schema: engine2.dll | EventPostAdvanceTick_t->m_nTotalTicksThisFrame | 0X000038
Schema: engine2.dll | EventPostAdvanceTick_t->m_nTotalTicks | 0X00003C
Schema: engine2.dll | EventClientSendInput_t->m_bFinalClientCommandTick | 0X000000
Schema: engine2.dll | EventClientSendInput_t->m_nAdditionalClientCommandsToCreate | 0X000004
Schema: engine2.dll | EventClientPollNetworking_t->m_nTickCount | 0X000000
Schema: engine2.dll | EventPostDataUpdate_t->m_nCount | 0X000000
Schema: engine2.dll | EventPreDataUpdate_t->m_nCount | 0X000000
Schema: engine2.dll | EventAppShutdown_t->m_nDummy0 | 0X000000
Schema: engine2.dll | CNetworkVarChainer->m_PathIndex | 0X000020
Schema: engine2.dll | EntComponentInfo_t->m_pName | 0X000000
Schema: engine2.dll | EntComponentInfo_t->m_pCPPClassname | 0X000008
Schema: engine2.dll | EntComponentInfo_t->m_pNetworkDataReferencedDescription | 0X000010
Schema: engine2.dll | EntComponentInfo_t->m_pNetworkDataReferencedPtrPropDescription | 0X000018
Schema: engine2.dll | EntComponentInfo_t->m_nRuntimeIndex | 0X000020
Schema: engine2.dll | EntComponentInfo_t->m_nFlags | 0X000024
Schema: engine2.dll | EntComponentInfo_t->m_pBaseClassComponentHelper | 0X000060
Schema: engine2.dll | CEntityComponentHelper->m_flags | 0X000008
Schema: engine2.dll | CEntityComponentHelper->m_pInfo | 0X000010
Schema: engine2.dll | CEntityComponentHelper->m_nPriority | 0X000018
Schema: engine2.dll | CEntityComponentHelper->m_pNext | 0X000020
Schema: engine2.dll | CEntityIdentity->m_nameStringableIndex | 0X000014
Schema: engine2.dll | CEntityIdentity->m_name | 0X000018
Schema: engine2.dll | CEntityIdentity->m_designerName | 0X000020
Schema: engine2.dll | CEntityIdentity->m_flags | 0X000030
Schema: engine2.dll | CEntityIdentity->m_worldGroupId | 0X000038
Schema: engine2.dll | CEntityIdentity->m_fDataObjectTypes | 0X00003C
Schema: engine2.dll | CEntityIdentity->m_PathIndex | 0X000040
Schema: engine2.dll | CEntityIdentity->m_pPrev | 0X000058
Schema: engine2.dll | CEntityIdentity->m_pNext | 0X000060
Schema: engine2.dll | CEntityIdentity->m_pPrevByClass | 0X000068
Schema: engine2.dll | CEntityIdentity->m_pNextByClass | 0X000070
Schema: engine2.dll | CEntityInstance->m_iszPrivateVScripts | 0X000008
Schema: engine2.dll | CEntityInstance->m_pEntity | 0X000010
Schema: engine2.dll | CEntityInstance->m_CScriptComponent | 0X000028
Schema: engine2.dll | CEntityIOOutput->m_Value | 0X000018
Schema: engine2.dll | CScriptComponent->m_scriptClassName | 0X000030
Schema: materialsystem2.dll | MaterialParam_t->m_name | 0X000000
Schema: materialsystem2.dll | MaterialParamInt_t->m_nValue | 0X000008
Schema: materialsystem2.dll | MaterialParamFloat_t->m_flValue | 0X000008
Schema: materialsystem2.dll | MaterialParamVector_t->m_value | 0X000008
Schema: materialsystem2.dll | MaterialParamTexture_t->m_pValue | 0X000008
Schema: materialsystem2.dll | MaterialParamString_t->m_value | 0X000008
Schema: materialsystem2.dll | MaterialParamBuffer_t->m_value | 0X000008
Schema: materialsystem2.dll | MaterialResourceData_t->m_materialName | 0X000000
Schema: materialsystem2.dll | MaterialResourceData_t->m_shaderName | 0X000008
Schema: materialsystem2.dll | MaterialResourceData_t->m_intParams | 0X000010
Schema: materialsystem2.dll | MaterialResourceData_t->m_floatParams | 0X000028
Schema: materialsystem2.dll | MaterialResourceData_t->m_vectorParams | 0X000040
Schema: materialsystem2.dll | MaterialResourceData_t->m_textureParams | 0X000058
Schema: materialsystem2.dll | MaterialResourceData_t->m_dynamicParams | 0X000070
Schema: materialsystem2.dll | MaterialResourceData_t->m_dynamicTextureParams | 0X000088
Schema: materialsystem2.dll | MaterialResourceData_t->m_intAttributes | 0X0000A0
Schema: materialsystem2.dll | MaterialResourceData_t->m_floatAttributes | 0X0000B8
Schema: materialsystem2.dll | MaterialResourceData_t->m_vectorAttributes | 0X0000D0
Schema: materialsystem2.dll | MaterialResourceData_t->m_textureAttributes | 0X0000E8
Schema: materialsystem2.dll | MaterialResourceData_t->m_stringAttributes | 0X000100
Schema: materialsystem2.dll | MaterialResourceData_t->m_renderAttributesUsed | 0X000118
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flExposureBias | 0X000000
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flShoulderStrength | 0X000004
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flLinearStrength | 0X000008
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flLinearAngle | 0X00000C
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flToeStrength | 0X000010
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flToeNum | 0X000014
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flToeDenom | 0X000018
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flWhitePoint | 0X00001C
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flLuminanceSource | 0X000020
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flExposureBiasShadows | 0X000024
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flExposureBiasHighlights | 0X000028
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flMinShadowLum | 0X00002C
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flMaxShadowLum | 0X000030
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flMinHighlightLum | 0X000034
Schema: materialsystem2.dll | PostProcessingTonemapParameters_t->m_flMaxHighlightLum | 0X000038
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_blendMode | 0X000000
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBloomStrength | 0X000004
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flScreenBloomStrength | 0X000008
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBlurBloomStrength | 0X00000C
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBloomThreshold | 0X000010
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBloomThresholdWidth | 0X000014
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flSkyboxBloomStrength | 0X000018
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBloomStartValue | 0X00001C
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_flBlurWeight | 0X000020
Schema: materialsystem2.dll | PostProcessingBloomParameters_t->m_vBlurTint | 0X000034
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_flVignetteStrength | 0X000000
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_vCenter | 0X000004
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_flRadius | 0X00000C
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_flRoundness | 0X000010
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_flFeather | 0X000014
Schema: materialsystem2.dll | PostProcessingVignetteParameters_t->m_vColorTint | 0X000018
Schema: materialsystem2.dll | PostProcessingLocalContrastParameters_t->m_flLocalContrastStrength | 0X000000
Schema: materialsystem2.dll | PostProcessingLocalContrastParameters_t->m_flLocalContrastEdgeStrength | 0X000004
Schema: materialsystem2.dll | PostProcessingLocalContrastParameters_t->m_flLocalContrastVignetteStart | 0X000008
Schema: materialsystem2.dll | PostProcessingLocalContrastParameters_t->m_flLocalContrastVignetteEnd | 0X00000C
Schema: materialsystem2.dll | PostProcessingLocalContrastParameters_t->m_flLocalContrastVignetteBlur | 0X000010
Schema: materialsystem2.dll | PostProcessingResource_t->m_bHasTonemapParams | 0X000000
Schema: materialsystem2.dll | PostProcessingResource_t->m_toneMapParams | 0X000004
Schema: materialsystem2.dll | PostProcessingResource_t->m_bHasBloomParams | 0X000040
Schema: materialsystem2.dll | PostProcessingResource_t->m_bloomParams | 0X000044
Schema: materialsystem2.dll | PostProcessingResource_t->m_bHasVignetteParams | 0X0000B4
Schema: materialsystem2.dll | PostProcessingResource_t->m_vignetteParams | 0X0000B8
Schema: materialsystem2.dll | PostProcessingResource_t->m_bHasLocalContrastParams | 0X0000DC
Schema: materialsystem2.dll | PostProcessingResource_t->m_localConstrastParams | 0X0000E0
Schema: materialsystem2.dll | PostProcessingResource_t->m_nColorCorrectionVolumeDim | 0X0000F4
Schema: materialsystem2.dll | PostProcessingResource_t->m_colorCorrectionVolumeData | 0X0000F8
Schema: materialsystem2.dll | PostProcessingResource_t->m_bHasColorCorrection | 0X000110
Schema: networksystem.dll | ChangeAccessorFieldPathIndex_t->m_Value | 0X000000
Schema: animationsystem.dll | MoodAnimation_t->m_sName | 0X000000
Schema: animationsystem.dll | MoodAnimation_t->m_flWeight | 0X000008
Schema: animationsystem.dll | MoodAnimationLayer_t->m_sName | 0X000000
Schema: animationsystem.dll | MoodAnimationLayer_t->m_bActiveListening | 0X000008
Schema: animationsystem.dll | MoodAnimationLayer_t->m_bActiveTalking | 0X000009
Schema: animationsystem.dll | MoodAnimationLayer_t->m_layerAnimations | 0X000010
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flIntensity | 0X000028
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flDurationScale | 0X000030
Schema: animationsystem.dll | MoodAnimationLayer_t->m_bScaleWithInts | 0X000038
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flNextStart | 0X00003C
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flStartOffset | 0X000044
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flEndOffset | 0X00004C
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flFadeIn | 0X000054
Schema: animationsystem.dll | MoodAnimationLayer_t->m_flFadeOut | 0X000058
Schema: animationsystem.dll | CMoodVData->m_sModelName | 0X000000
Schema: animationsystem.dll | CMoodVData->m_nMoodType | 0X0000E0
Schema: animationsystem.dll | CMoodVData->m_animationLayers | 0X0000E8
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_nEntityIndex | 0X000000
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_modelName | 0X000008
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_poseParams | 0X000010
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_decodeOps | 0X000028
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_internalOps | 0X000040
Schema: animationsystem.dll | AnimationDecodeDebugDumpElement_t->m_decodedAnims | 0X000058
Schema: animationsystem.dll | AnimationDecodeDebugDump_t->m_processingType | 0X000000
Schema: animationsystem.dll | AnimationDecodeDebugDump_t->m_elems | 0X000008
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_flRealTime | 0X000000
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_rootToWorld | 0X000010
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_bBonesInWorldSpace | 0X000040
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_boneSetupMask | 0X000048
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_boneTransforms | 0X000060
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_flexControllers | 0X000078
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_SnapshotType | 0X000090
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_bHasDecodeDump | 0X000094
Schema: animationsystem.dll | AnimationSnapshotBase_t->m_DecodeDump | 0X000098
Schema: animationsystem.dll | AnimationSnapshot_t->m_nEntIndex | 0X000110
Schema: animationsystem.dll | AnimationSnapshot_t->m_modelName | 0X000118
Schema: animationsystem.dll | CAnimBoneDifference->m_name | 0X000000
Schema: animationsystem.dll | CAnimBoneDifference->m_parent | 0X000010
Schema: animationsystem.dll | CAnimBoneDifference->m_posError | 0X000020
Schema: animationsystem.dll | CAnimBoneDifference->m_bHasRotation | 0X00002C
Schema: animationsystem.dll | CAnimBoneDifference->m_bHasMovement | 0X00002D
Schema: animationsystem.dll | CAnimMorphDifference->m_name | 0X000000
Schema: animationsystem.dll | CAnimUserDifference->m_name | 0X000000
Schema: animationsystem.dll | CAnimUserDifference->m_nType | 0X000010
Schema: animationsystem.dll | CAnimEncodeDifference->m_boneArray | 0X000000
Schema: animationsystem.dll | CAnimEncodeDifference->m_morphArray | 0X000018
Schema: animationsystem.dll | CAnimEncodeDifference->m_userArray | 0X000030
Schema: animationsystem.dll | CAnimEncodeDifference->m_bHasRotationBitArray | 0X000048
Schema: animationsystem.dll | CAnimEncodeDifference->m_bHasMovementBitArray | 0X000060
Schema: animationsystem.dll | CAnimEncodeDifference->m_bHasMorphBitArray | 0X000078
Schema: animationsystem.dll | CAnimEncodeDifference->m_bHasUserBitArray | 0X000090
Schema: animationsystem.dll | CAnimAnimEvent->m_nFrame | 0X000000
Schema: animationsystem.dll | CAnimAnimEvent->m_flCycle | 0X000004
Schema: animationsystem.dll | CAnimAnimEvent->m_EventData | 0X000008
Schema: animationsystem.dll | CAnimAnimEvent->m_sLegacyOptions | 0X000018
Schema: animationsystem.dll | CAnimAnimEvent->m_sEventName | 0X000028
Schema: animationsystem.dll | CAnimMovement->endframe | 0X000000
Schema: animationsystem.dll | CAnimMovement->motionflags | 0X000004
Schema: animationsystem.dll | CAnimMovement->v0 | 0X000008
Schema: animationsystem.dll | CAnimMovement->v1 | 0X00000C
Schema: animationsystem.dll | CAnimMovement->angle | 0X000010
Schema: animationsystem.dll | CAnimMovement->vector | 0X000014
Schema: animationsystem.dll | CAnimMovement->position | 0X000020
Schema: animationsystem.dll | CAnimLocalHierarchy->m_sBone | 0X000000
Schema: animationsystem.dll | CAnimLocalHierarchy->m_sNewParent | 0X000010
Schema: animationsystem.dll | CAnimLocalHierarchy->m_nStartFrame | 0X000020
Schema: animationsystem.dll | CAnimLocalHierarchy->m_nPeakFrame | 0X000024
Schema: animationsystem.dll | CAnimLocalHierarchy->m_nTailFrame | 0X000028
Schema: animationsystem.dll | CAnimLocalHierarchy->m_nEndFrame | 0X00002C
Schema: animationsystem.dll | CAnimDecoder->m_szName | 0X000000
Schema: animationsystem.dll | CAnimDecoder->m_nVersion | 0X000010
Schema: animationsystem.dll | CAnimDecoder->m_nType | 0X000014
Schema: animationsystem.dll | CAnimFrameSegment->m_nUniqueFrameIndex | 0X000000
Schema: animationsystem.dll | CAnimFrameSegment->m_nLocalElementMasks | 0X000004
Schema: animationsystem.dll | CAnimFrameSegment->m_nLocalChannel | 0X000008
Schema: animationsystem.dll | CAnimFrameSegment->m_container | 0X000010
Schema: animationsystem.dll | CAnimFrameBlockAnim->m_nStartFrame | 0X000000
Schema: animationsystem.dll | CAnimFrameBlockAnim->m_nEndFrame | 0X000004
Schema: animationsystem.dll | CAnimFrameBlockAnim->m_segmentIndexArray | 0X000008
Schema: animationsystem.dll | CAnimEncodedFrames->m_fileName | 0X000000
Schema: animationsystem.dll | CAnimEncodedFrames->m_nFrames | 0X000010
Schema: animationsystem.dll | CAnimEncodedFrames->m_nFramesPerBlock | 0X000014
Schema: animationsystem.dll | CAnimEncodedFrames->m_frameblockArray | 0X000018
Schema: animationsystem.dll | CAnimEncodedFrames->m_usageDifferences | 0X000030
Schema: animationsystem.dll | CAnimDesc_Flag->m_bLooping | 0X000000
Schema: animationsystem.dll | CAnimDesc_Flag->m_bAllZeros | 0X000001
Schema: animationsystem.dll | CAnimDesc_Flag->m_bHidden | 0X000002
Schema: animationsystem.dll | CAnimDesc_Flag->m_bDelta | 0X000003
Schema: animationsystem.dll | CAnimDesc_Flag->m_bLegacyWorldspace | 0X000004
Schema: animationsystem.dll | CAnimDesc_Flag->m_bModelDoc | 0X000005
Schema: animationsystem.dll | CAnimDesc_Flag->m_bImplicitSeqIgnoreDelta | 0X000006
Schema: animationsystem.dll | CAnimDesc_Flag->m_bAnimGraphAdditive | 0X000007
Schema: animationsystem.dll | CAnimSequenceParams->m_flFadeInTime | 0X000000
Schema: animationsystem.dll | CAnimSequenceParams->m_flFadeOutTime | 0X000004
Schema: animationsystem.dll | CAnimDesc->m_name | 0X000000
Schema: animationsystem.dll | CAnimDesc->m_flags | 0X000010
Schema: animationsystem.dll | CAnimDesc->fps | 0X000018
Schema: animationsystem.dll | CAnimDesc->m_Data | 0X000020
Schema: animationsystem.dll | CAnimDesc->m_movementArray | 0X0000F8
Schema: animationsystem.dll | CAnimDesc->m_eventArray | 0X000110
Schema: animationsystem.dll | CAnimDesc->m_activityArray | 0X000128
Schema: animationsystem.dll | CAnimDesc->m_hierarchyArray | 0X000140
Schema: animationsystem.dll | CAnimDesc->framestalltime | 0X000158
Schema: animationsystem.dll | CAnimDesc->m_vecRootMin | 0X00015C
Schema: animationsystem.dll | CAnimDesc->m_vecRootMax | 0X000168
Schema: animationsystem.dll | CAnimDesc->m_vecBoneWorldMin | 0X000178
Schema: animationsystem.dll | CAnimDesc->m_vecBoneWorldMax | 0X000190
Schema: animationsystem.dll | CAnimDesc->m_sequenceParams | 0X0001A8
Schema: animationsystem.dll | CAnimActivity->m_name | 0X000000
Schema: animationsystem.dll | CAnimActivity->m_nActivity | 0X000010
Schema: animationsystem.dll | CAnimActivity->m_nFlags | 0X000014
Schema: animationsystem.dll | CAnimActivity->m_nWeight | 0X000018
Schema: animationsystem.dll | CAnimData->m_name | 0X000010
Schema: animationsystem.dll | CAnimData->m_animArray | 0X000020
Schema: animationsystem.dll | CAnimData->m_decoderArray | 0X000038
Schema: animationsystem.dll | CAnimData->m_nMaxUniqueFrameIndex | 0X000050
Schema: animationsystem.dll | CAnimData->m_segmentArray | 0X000058
Schema: animationsystem.dll | CAnimBone->m_name | 0X000000
